No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
213,1,C,Acer saccharum,0.106,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22,,-0.56,13.86,12.15,11,38.5,1,,
399,1,B,Acer saccharum,0.1,Med,2016,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/11/18,14.57,,0.22,13.76,12.17,11,38.5,1,,
574,2,C,Acer saccharum,0.097,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,24.09,,-0.87,14.03,12.27,11,38.5,1,,
585,2,A,Acer saccharum,0.083,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,20.55,,-0.63,14.24,12.27,11,38.5,1,,
881,3,C,Prunus serotina,0.103,Med,2017,Quercus rubra,921,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,32.24,,0.74,10.55,13.74,11,38.5,1,,
883,3,A,Prunus serotina,0.08,Med,2017,Prunus serotina,H,Non-Sterile,Conspecific,AMF,AMF,6/7/18,29.88,,0.43,9.1,11.74,11,38.5,1,,
942,3,A,Prunus serotina,0.08,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,31.81,,0.71,9.35,11.66,11,38.5,1,,
4335,11,C,Quercus alba,0.055,Low,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,23.87,36.31,4.32,19.24,21.51,33,115.5,0,,1
958,3,A,Prunus serotina,0.08,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,31.81,,0.71,9.35,11.66,11,38.5,1,,
4338,11,C,Quercus alba,0.055,Low,2017,Sterile,1478,Sterile,Sterilized,EMF,Sterile,5/17/18,10.58,4.23,2.29,19.25,18.63,33,115.5,0,,1
963,3,A,Prunus serotina,0.08,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,46.72,,0.69,7.3,11.32,11,38.5,1,,
974,3,A,Prunus serotina,0.08,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,46.72,,0.69,7.3,11.32,11,38.5,1,,
1018,3,C,Prunus serotina,0.103,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,41.12,,0.78,10.16,13.45,11,38.5,1,,
1022,3,C,Prunus serotina,0.103,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,39.26,,0.7,8.31,11.56,11,38.5,1,,
1062,3,C,Acer saccharum,0.103,Med,2016,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,22.16,,-0.64,13.88,12.13,11,38.5,1,,
1064,3,A,Prunus serotina,0.08,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,25.38,,0.64,9.25,11.86,11,38.5,1,,
1072,3,E,Prunus serotina,0.095,Med,2017,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,35.15,,0.59,9.59,11.92,11,38.5,1,,
4360,11,A,Quercus alba,0.068,Low,2016,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,19.1,37.94,4.81,25.32,15.2,17,59.5,1,,
1079,3,C,Acer saccharum,0.103,Med,2016,Prunus serotina,G,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,22.16,,-0.64,13.88,12.13,11,38.5,1,,
